题目,思路,属性,分类
方程组的解关系,"齐次方程判断矩阵秩与解的关系：
1、系数矩阵满秩→零解
2、系数矩阵不是满秩→无穷多解
3、基础解系向量个数 = n - r(A)
——————————————————————————
非齐次方程判断矩阵秩与解的关系：
1、系数矩阵与增广矩阵秩相等→有解
1.1 满秩→唯一解
1.2 不是满秩→无穷多解（齐次基础解系+特解）
2、系数矩阵与增广矩阵秩不相等→无解
——————————————————————————
齐次和非齐次方程解之间的关系：
1、非齐次无穷解→齐次有非零解
2、非齐次唯一解→齐次只有零解
注意：反之均不成立（因为有可能无解，齐次只有零解非齐次无解的情况是系数矩阵非方阵时的情况）
——————————————————————————
证明非齐次方程有解：
1、转换成证明秩关系：证明增广矩阵的秩与系数矩阵的秩相同",简单,线性方程组
求方程组的解,"齐次方程，求解通解（基础解系）：
0、参数矩阵为方阵：可以利用$|A| = 0$来讨论参数（防遗漏）
1、对齐次方程的系数矩阵进行初等行变换，求得阶梯矩阵
2、区分自由未知量和独立未知量，将自由未知量逐个赋1，其余自由未知量赋0，求得自由未知量个数的解（即为基础解系）；若自由未知量个数为0，那么就只有0解
3、或者（与2对应）将自由未知量设不同字母表示，代入阶梯矩阵得到通解
注意：基础解系是一组向量；通解为基础解系组成的表达式（注意标注$k$是任意常数）
备注：克拉默法则求解非齐次方程（唯一解为$x_i = \frac {|A_i|}{|A|},i=1,2,\cdots, n$，其中$|A_i|$是$|A|$中的第i列元素替换成方程右端的常数项所构成的行列式）克拉默法则求解范围有限（强限制），要求系数行列式不能为0，方程个数需要与未知数个数相同
——————————————————————————
非齐次方程，求解通解：
0、参数矩阵为方阵：可以利用$|A| = 0$来讨论参数（防遗漏）
1、对非齐次方程的增广矩阵进行初等行变换，求得阶梯矩阵
2、求得对应齐次方程的基础解系
3、将自由未知量取0值（简化计算），求得一个特解（特解的计算，特解只有一个）
4、对应齐次方程的基础解系和特解组成非齐次方程的通解
注意：通解为基础解系和特解组成的表达式（注意标注k是任意常数）
——————————————————————————
抽象方程求解：
1、讨论秩，根据秩确定方程解的情况（通解形式）
2、再根据已知条件求解",重点,线性方程组
两个方程组,"求解两个方程组的公共解：
情况一：已知两个方程组的结构
1、将两个方程组联立求解
情况二：已知其中一个方程组的解和另一个方程组
1、将其中一个方程包含多个未知量表示的解代入到另一个方程组，得到新的关于未知量的方程，求解其中未知量的值
情况三：已知两个方程的通解
1、将两个通解的对应部分相等，求得未知量的关系，从而求解未知量
——————————————————————————
判定方程组同解：（这是啥）
1、同解：方程组一的解是方程组二的解；方程组二的解是方程组一的解
2、利用方程组一的解构成的形式，构造转换成方程组二的形式
注意：反证法的运用
注意：同解方程组的系数矩阵秩相等
——————————————————————————","中等, 疑问",线性方程组
方程基础解系,"齐次方程-判断某个向量是否是解向量：
1、方法一（简单）：行变换求向量的线性表出：基础解系向量与待判断向量一起做初等行变换，判断初等行变换后的待判断向量能否由初等变换后的基础解析向量线性表出（原理是待判断的向量可以由基础解系表出，即非齐次方程的求解问题）
2、方法二：解原方程组（原方程组是具有该基础解系的一个方程组）：根据基础解析向量求出原方程组，并代入待判断向量看是不是原方程组的解进行验证
——————————————————————————
已知通解，求解原齐次方程组：（转置调换位置法）
1、构建新的齐次方程：利用矩阵转置的特性（交换解和矩阵的位置）获得以齐次方程组系数为未知量，通解为系数矩阵的新齐次方程，对新的齐次方程求解，得到的基础解系即是原齐次方程组的系数
——————————————————————————
非齐次方程-判断某个向量是否是解向量：
1、转齐次方程判断：先将待判断向量与特解向量相减得向量A，就转换成了判断A是否是非齐次方程对应的齐次方程
——————————————————————————
判断基础解系组合变换后的组合是否是基础解系：
1、变换矩阵行列式值：利用变换系数矩阵的行列式是否为0判定（为0说明组合线性相关，不为0说明组合线性无关）
2、反证法：将变换后的组合认定为线性相关的，求解线性系数（从出现较少的基础解入手），当求得的系数全是0时，组合就不是线性相关的
注意：基础解系必须是一组线性无关的向量",中等,线性方程组
方程组的解讨论方程未知参数,"齐次方程：（带有未知参数的齐次方程，已知解的个数，判定未知参数的值（或者讨论解的情况对应的未知参数的值））
1、行列式判断参数值：（防遗漏）判断解时，可以使用行列式（系数矩阵是n阶矩阵，否则使用秩来讨论），得到一个包含未知参数的表达式，讨论该表达式的值即可判定齐次方程只有零解（行列式值不为0）或者存在基础解系（行列式值为0）
2、秩判断参数值：将系数矩阵化简成阶梯矩阵形式（注意参数不要做变换的分母），讨论其中参数的值与秩的关系
3、求解具体的基础解系时，需要使用矩阵形式（将行列式为0时的参数条件代入）进行初等行变换化简成阶梯矩阵，求得基础解系
备注：齐次可以用行列式是因为使用行列式能更好地讨论参数（防遗漏）（使用行列式系数矩阵必须是n阶矩阵，否则得用秩来讨论了）
备注：只化简行（初等行变换）将矩阵化简成上三角或者下三角
——————————————————————————
非齐次方程：（带有未知参数的非齐次方程，已知解的个数，判定未知参数的值（或者讨论解的情况对应的未知参数的值））
1、将增广矩阵利用高斯消元法（即化简成阶梯矩阵）
2、根据系数矩阵与增广矩阵秩的关系判定有解或无解的情况；然后将其特定的未知参数值代入求得解（代入后可能需要继续进行行变换）
备注：将首列含有未知参数的进行行交换到末行（更好计算）
注意：未知参数不要用除法消去（防止分母为0）
注意：非齐次方程的求解不要当成齐次方程，每一行与解相乘不是等于0而是根据具体情况等于某个具体值的",中等,线性方程组
根据列向量的线性方程组和方程组的通解求解列向量线性组合之后的方程的解,"观察判断法：（依赖于对现有的关系式观察组合）
1、判断线性组合后的通解形式（应该有几个基础解系）
2、利用已知的通解，构造出所有的满足组合之后的方程组的基础解系和特解
3、将求得的基础解系和特解组合成通解（注意标注k是任意常数）
——————————————————————————
代入求解法：
1、由已知方程的列向量和解，将解代入得到列向量之间的关系1
2、设列向量线性组合之后的解（设解），并得到解与列向量之间的关系2
3、对照关系1和关系2得到新解与已知方程解系数的关系（注意关系1或者关系2需要乘以一个系数，类似于平面束方程的构造）",中等,线性方程组
根据非齐次方程的特解（或者特解组合）求解非齐次方程的通解,"求解方法：<880题 P67 三 1>
1、根据系数矩阵的秩判断线性组合后的通解形式（应该有几个基础解系）
2、线性无关解具有通解的形式，通过将组合（注意这些组合并不是方程组的解）进行再组合，消去其中的特解部分即可得到通解，消去到只保留一个特解（给出的组合可能包含多个特解）时就是方程组的特解
注意：对现有的解组合时，要考虑到有可能组合到零向量的情况（这时零向量无法作为通解存在）（<880题 P67 一 5>））
——————————————————————————
组合方法（可以利用代入齐次表达式证明）：
特解组合成特解：设$\alpha_1,\alpha_2,\cdots,\alpha_n$是方程组$Ax=b$的解，当$k_1+k_2+\cdots+k_n=1$时，$k_1\alpha_1+k_2\alpha_2+\cdots+k_n\alpha_n $也是$Ax=b$的解
特解组合成通解：设$\alpha_1,\alpha_2,\cdots,\alpha_n$是方程组$Ax=b$的解，当$k_1+k_2+\cdots+k_n=0$时，$k_1\alpha_1+k_2\alpha_2+\cdots+k_n\alpha_n $是$Ax=0$的解
注意：对现有的解组合时，要考虑到有可能组合到零向量的情况（这时零向量无法作为通解存在）",中等,线性方程组
线性方程组与空间几何的关系,"1、多个面有一个交点：只有一个值使得方程成立，即非齐次方程有唯一解
2、多个面交于同一条直线：考虑直线的参数方程只有一个变量，即说明非齐次方程对应的齐次方程有一个线性无关的解
3、多点共线：则这些点的值是在同一条直线上的，将直线表示为参数方程的形式，就是一个同解加一个特解，所以这些个点是由两个线性无关的向量组成的，即秩为2（这些点构成的齐次方程组的解的秩也为2）
4、多个面重合：这些面构成的非齐次方程组都是由一个方程组变化（乘常系数）来的（也就是线性相关），所以组成的非齐次方程组秩为1
5、多个面平行：这些面构成的非齐次方程组无解（没有交点），这些面构成的齐次方程是线性相关的（保证面平行）
6、三个面两两相交：三个面没有公共交点说明构成的非齐次方程无解，但是任两个方程有解（通解和特解，即构成一条直线），说明任意两个面有解且是一个通解和一个特解，由于面的方程是具有三个未知数的，所以此时三个面构成的非齐次方程（增广矩阵）秩为3，任意两个面构成的非齐次方程的（系数矩阵和增广矩阵）秩为2
7、两个面平行，另一个面与这两个面相交：三个面没有公共交点说明构成的非齐次方程无解，其中两个面平行说明这两个面的方程的齐次部分是线性相关的，这两个面与另一个面的相交关系分析参考（三个面两两相交）的情况",思路,线性方程组
已知齐次线性方程组只有零解，判断系数矩阵列变换（列组合）之后是否有非零解<复习全书p392>,"求解变换后系数矩阵秩的方法：
1、将变换后的系数矩阵用原齐次方程系数矩阵乘以变换矩阵表示出来（即求解变换矩阵）
2、原系数矩阵构成的齐次方程只有零解，则是可逆的；根据r(AB)=r(B)判断变换后的矩阵是否是可逆的，转换为求解变换矩阵是否是可逆的（对系数变换矩阵进行可逆性判断：判断系数变换矩阵的行列式是否为0）",中等,线性方程组
系数矩阵与系数伴随矩阵的解的关系,"1、秩的关系：参考伴随矩阵与原矩阵秩的关系
2、解的个数：由$n - r(A)$，推断线性无关解的个数
3、伴随矩阵与行列式的关系：伴随矩阵的行乘矩阵的列是行列式的值或者0（取决于是否是同一行，即代数余子式的性质）
4、如果$A^T=A^*$，则对于伴随矩阵的某一行的解（如果解为$A$的列）的值有类似于$a_{11}A_{11}+a_{21}A_{21}+a_{31}A_{31} = a_{11}^2 + a_{21}^2+a_{31}^2\ge 0$的关系",中等,线性方程组
已知系数的方程组新加一个带有未知系数的方程，与原方程同解，求解未知系数的关系,"同解推出方程组系数之间有关系：
1、转换成非齐次方程求解：未知方程是已知方程的的组合，从而求得未知系数与已知系数之间的组合关系（原理：齐次方程组合之后的解与组合前的解相同，即同解）",简单,线性方程组
线性方程组界的奇葩,"1、如果矩阵A的行元素之和为固定的值，那么设解向量为全1可能有惊喜
2、其它行或列为固定值的一般是加到同一行或者同一列上的思路",思路,线性方程组
向量组与矩阵构成的方程的基础解系等价，求解方程组的基础解系,"1、等价：向量组必是矩阵构成的方程的解
2、求解：转换成了由一堆解找一些线性无关的解来组成方程的基础解系（判断方程组的解的结构）
",中等,线性方程组
判断列向量是否能由某几个列向量线性表出,"1、直接表出：根据现有的方程进行组合（依据通解），将未知向量表出
2、反证法：不能表出时反证法的应用（通常假设能线性表出后得出与现有的条件矛盾（通常是秩））",简单,线性方程组
特征值/特征向量/相似矩阵-定义,"1、特征值，特征向量：特征值之和、特征值之积与矩阵的关系
2、特征方程，特征多项式，特征矩阵：
3、相似对角化，相似标准形：$A \sim B$，$A=P^{-1}BP$，相似标准形是一个对角阵
4、相似矩阵：$A \sim B$，具有反身性，对称性，传递性
5、实对称阵：元素是实数，并且对称$A=A^T$
注意：特征向量必须是非零向量，在大题中如果出现抽象特征向量需要对其进行讨论",基础,特征值/特征向量/相似矩阵
求解特征值和特征向量,"矩阵形式-求解方案一：
1、由$|\lambda E - A|=0$求出所有的特征值
2、对每一个特征值建立齐次线性方程组$(\lambda _i E - A)x = 0$，求出对应特征值的特征向量
技巧：由于一个特征值必有一个特征向量，系数矩阵$(\lambda _i E - A)$初等行变换后必有一行值为零，所以可以将任意一行改成0然后求解
——————————————————————————
矩阵形式-求解方案二：
1、利用定义$A\alpha=\lambda \alpha$的数值$\lambda$即是A的特征值，$\alpha$是A对应的特征向量（一般应用于抽象矩阵，或者元素为文字的矩阵）
备注：若$A\alpha_i=0=0\alpha_i$，则$\alpha_i$是对应$\lambda=0$的特征向量，若$\alpha_i$是齐次方程组$Ax=0$的基础解系，则$\alpha_i$进一步还是线性无关的特征向量（故当$|A|=0$时，$Ax=0$有解，$A$有特征值$\lambda=0$）
——————————————————————————
证明具有相同特征值：
1、证明具有相同的特征方程$|\lambda E-A|=|\lambda E-B|$
2、
——————————————————————————
抽象矩阵的特征值：
1、若矩阵A满足某个条件，则应该联想到特征值$\lambda$满足的条件，获取到特征值$\lambda$的范围（矩阵关系对应到特征值关系）
2、矩阵变换后的特征值：$\begin{array}{c|c|c|c|c|c|c}\hline \text { 矩阵 } & \boldsymbol{A} & k \boldsymbol{A}+\boldsymbol{E} & \boldsymbol{A}+k \boldsymbol{E} & \boldsymbol{A}^{n} & \boldsymbol{A}^{-1}(\boldsymbol{A} \text { 可逆 }) & \boldsymbol{A}^{*}(\boldsymbol{A} \text { 可逆 }) \\\hline \text { 特征值 } & \lambda & k \lambda+1 & \lambda+k & \lambda^{n} & \frac{1}{\lambda} & \frac{|\boldsymbol{A}|}{\lambda} \\\hline\end{array}$
3、
——————————————————————————
注意：对于特征向量的表示，全体特征向量为带有常系数$k$的一个向量，即其个数是无限的；如果一个特征值具有两个特征向量，则用$k_1$和$k_2$表示常系数，并且需要在后边说明$k_1$和$k_2$不同时为0（即先求出来一个特征向量，然后加上常数就扩展到了全体特征向量上）
注意：对于特征值和特征向量的描述，要一一对应，并且特征向量描述为全体特征向量",中等,特征值/特征向量/相似矩阵
特征值和特征向量应用,"由特征值和特征向量反求矩阵：
1、利用对角化公式$P^{-1}AP=\Lambda$，根据特征向量凑可逆矩阵$P$（注意一一对应和对应关系（$A=P\Lambda P^{-1}$））
2、上述方法中构造可逆矩阵P时，如果可以构造成正交矩阵的形式，则可以利用$A=Q\Lambda Q^{-1}=Q\Lambda Q^{T}$，可以简化计算（利用了正交矩阵的性质）
备注：相同特征值的特征向量线性无关；不同特征值的特征向量具有正交的性质（该正交性质并不是实对称矩阵才有的）
——————————————————————————
利用特征值，特征向量及相似矩阵确定参数：
1、定义：利用特征值的定义代入矩阵方程$A\alpha=\lambda \alpha$，使得对应分量相等
——————————————————————————
求解$A^n$与特征向量或者特征向量组合相乘的问题：
1、矩阵变换后的特征值：$\begin{array}{c|c|c|c|c|c|c}\hline \text { 矩阵 } & \boldsymbol{A} & k \boldsymbol{A}+\boldsymbol{E} & \boldsymbol{A}+k \boldsymbol{E} & \boldsymbol{A}^{n} & \boldsymbol{A}^{-1}(\boldsymbol{A} \text { 可逆 }) & \boldsymbol{A}^{*}(\boldsymbol{A} \text { 可逆 }) \\\hline \text { 特征值 } & \lambda & k \lambda+1 & \lambda+k & \lambda^{n} & \frac{1}{\lambda} & \frac{|\boldsymbol{A}|}{\lambda} \\\hline\end{array}$
2、由特征值的定义转换成$A\alpha=\lambda \alpha$形式",中等,特征值/特征向量/相似矩阵
矩阵相似,"矩阵相似的必要条件：（快速判定是否相似）（并不能由这些条件得到矩阵相似）
1、类特征多项式：$\lambda E-A\sim \lambda E-B$，其中$\lambda$为实数，特别的当$\lambda$是特征值时也成立；$|\lambda E-A|=|\lambda E-B|$（特征多项式相等）
2、秩的关系：$r(A)=r(B)$
3、特征值的关系：$A,B$具有相同的特征值（利用定义来证明）（反之具有相同的特征值不一定相似（就是非充分条件）（重根的情况导致的（<复习全书 P414 例 5 评注>）））
4、特征值与特征向量判定：
4.1、实对称矩阵的相似判定：$A,B$是同阶实对称矩阵，且$A \sim B \Leftrightarrow A,B$具有相同的特征值及重数 
4.2、不能化为相似对角阵的矩阵判定：对于三阶矩阵来说，若两个矩阵的特征值相同，并且特征值对应的线性无关的特征向量个数相同，则它们相似（对于四阶和四阶以上的不成立）（三阶矩阵相似充要条件）（即不能化为相似对角阵的两个矩阵也可能相似）
5、行列式的关系：$|A|=|B|$，行列式值等于特征值之积
6、矩阵的特征：$A,B$对角线的和相等（迹相等）：$tr(A)=tr(B)$
7、相似传递性：$A,B$相似于同一个对角矩阵（也是充分条件）
注意：是必要条件（相似的推论）
——————————————————————————
相似于对角阵的条件：（矩阵可相似对角化的判定）（充分或者充要条件）（单个矩阵）
1、实对称矩阵（或者实对称式子组合等）必相似于对角阵（充分）
2、有n个互不相等的特征值（充分）
3、每个r重特征值具有r个线性无关的特征向量（充要）
4、有n个线性无关的特征向量（充要）
5、若$n$阶矩阵$\boldsymbol{A}$有一个非零特征值，且$r(\boldsymbol{A})=1$（两个条件缺一不可，因为如果$r(\boldsymbol{A})=1$不一定会有一个非零特征值），则矩阵$\boldsymbol{A}$一定相似于对角矩阵
注意：条件“A有n个不同的特征值”与“A为实对称矩阵”均能推出“A有n个线性无关的特征向量”和“A的每个特征值对应的线性无关的特征向量的个数等于该特征值的重数”，但它们之间并没有相互蕴含的关系
——————————————————————————
相似对角化A为对角矩阵：
1、求解所有的特征值和特征向量
2、利用特征向量构造可逆矩阵P使得对角矩阵为对应的特征值排列（注意一一对应关系）
——————————————————————————
相似杂例：
1、证明$AB \sim BA$：$AB = EAB = B^{-1}BAB = B^{-1}(BA)B$（恒成立的，B可逆是前提）
2、",中等,特征值/特征向量/相似矩阵
实对称阵,"实对称阵的性质：
1、特征值全部都是实数，并且对应的对角阵的对角线上就是所有的特征值，非零特征值的个数等于矩阵的秩（对于非实对称矩阵的非零特征值个数不一定等于矩阵的秩）
2、属于不同特征值对应的特征向量互相正交（这是由于实对称性质带来的）（怎么证明）
3、实对称阵必相似于对角阵，即必存在可逆阵$P$，使得$P^{-1}AP=\Lambda$，且存在正交阵$Q$使得$Q^{-1}AQ=Q^{T}AQ=\Lambda$，即$P$就是正交阵（正交阵定义：$AA^T=A^TA=E$，即单位阵的各个向量是标准化之后的），所以$P^T=P^{-1}=Q^T=Q^{-1}$（这里将相似与合同关联了起来），所以由特征向量阵$Q$和对角阵求$A$时，$A=Q\Lambda Q^{-1}=Q\Lambda Q^{T}$（使用正交阵的变换可以将逆运算替换为转置运算）
——————————————————————————
实对称阵正交相似于对角阵的步骤：
1、求解所有的特征值和特征向量（尽量使得各个向量刚好正交，不同特征值的特征向量已经正交，在求解同一个特征值对应的特征向量时就尽量保证不同的特征向量正交（避免正交化：求出第一个特征向量之后，其它特征向量设未知数，利用正交关系求解未知量即可））
2、对应特征值的所有特征向量正交化（不同特征值的特征向量已正交）（备注：取正交的基础解系，跳过施密特正交化，设自由变量让第二个解向量与第一个解向量正交，把第二个解向量代入方程，确定自由变量）
3、全部特征向量标准化
4、将n个单位正交向量合并成正交矩阵（即待求解的量），对应的特征值组成对角矩阵（即待求解的量）
注意：前提必须是实对称矩阵
——————————————————————————
线性无关向量得到标准正交向量组的方法：
1、设向量组$\boldsymbol{\alpha}_{1}, \boldsymbol{\alpha}_{2}, \boldsymbol{\alpha}_{3}$线性无关
2、令$\boldsymbol{\beta}_{1}=\boldsymbol{\alpha}_{1}$；$\boldsymbol{\beta}_{2}=\boldsymbol{\alpha}_{2}-\frac{\left(\boldsymbol{\alpha}_{2}, \boldsymbol{\beta}_{1}\right)}{\left(\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{1}\right)} \boldsymbol{\beta}_{1}$；$\boldsymbol{\beta}_{3}=\boldsymbol{\alpha}_{3}-\frac{\left(\boldsymbol{\alpha}{3}, \boldsymbol{\beta}_{1}\right)}{\left(\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{1}\right)} \boldsymbol{\beta}_{1}-\frac{\left(\boldsymbol{\alpha}_{3}, \boldsymbol{\beta}_{2}\right)}{\left(\boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{2}\right)} \boldsymbol{\beta}_{2}$
3、则$\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{3}$两两正交
4、再将$\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{3}$单位化, 取$\boldsymbol{\gamma}_{1}=\frac{\boldsymbol{\beta}_{1}}{\left|\boldsymbol{\beta}_{1}\right|}, \boldsymbol{\gamma}_{2}=\frac{\boldsymbol{\beta}_{2}}{\left|\boldsymbol{\beta}_{2}\right|}, \boldsymbol{\gamma}_{3}=\frac{\boldsymbol{\beta}_{3}}{\left|\boldsymbol{\beta}_{3}\right|}$
——————————————————————————","中等, 疑问",特征值/特征向量/相似矩阵
二次型相关概念,"1、二次型：$n$个变量的二次齐次多项式，当系数均为实数时，称为n元实二次型
2、二次型矩阵表示：二次型表示矩阵为对称阵形式；$r(f)$是求解二次型系数矩阵的秩（注意求解二次型的秩时一定要是对实对称矩阵求解的）
3、二次型的标准形：二次形式子中只有平方项，没有混合项
4、二次型的规范性：二次形的标准形式子中的系数只有0，-1，1（注意规范型的表示是由只有平方项的二次型的式子表示的）
5、合同矩阵和合同二次型：（合同的定义）合同为存在可逆阵$C$，使得$C^TAC=B$，记为$A \simeq B$（合同的表示）
6、正惯性指数，负惯性指数和符号差：正惯性指数为标准形中正平方项的项数；负惯性指数为标准形中负平方项的项数；符号差是正惯性指数减去负惯性指数；秩就等于正惯性指数加上负惯性指数
7、正定与正定二次形：（正定的定义）对于任意的非零值代入到二次形式子中，式子值恒大于零（注意不包括0），即只含有正系数平方项的式子是正定的（注意判断正定的首要条件是矩阵是否是实对称矩阵）
8、惯性定理：二次型经过可逆线性变换，正负惯性指数不变，秩不变",基础,二次型
矩阵正定判断,"正定的充要条件：（判定条件与推论）
1、特征值法：矩阵$A$的全部特征值大于0；矩阵的正惯性指数等于未知量的个数（实际上还是特征值大于0）
2、定义法：仅在平方项的值为0时等号才成立（平方项为0当且仅当构成的齐次方程组只有零解（各个项线性无关）；若存在非零解，则各个项之间线性相关，导致值非零时也等于零就不满足正定的定义）（反证法）；若方阵$A$各列线性无关，则$A^TA$正定：$A$各列线性无关，则$Ax=0$只有零解，所以当$x\ne 0$时，$x^TA^TAx = (Ax)^TAx \ne 0$
3、矩阵合同于$E$：对于矩阵$A$有$A \simeq E$，即存在可逆矩阵$C$，使得$C^TAC=E$，则$A$正定；对于矩阵$A$有$A=D^TD$，其中$D$是可逆阵（由$A=D^TD$可以得到$(D^{-1})^TAD^{-1}=E$），则$A$正定
4、行列式法：$A$的全部顺序主子式大于0，$a_{11}>0,\left|\begin{array}{ll}a_{11} & a_{12} \\a_{21} & a_{22}\end{array}\right|>0, \cdots,\left|\begin{array}{ccc}a_{11} & \cdots & a_{1 n} \\\vdots & & \vdots \\a_{n 1} & \cdots & a_{n n}\end{array}\right|>0$
性质：可逆线性变换不改变矩阵的正定性（作可逆线性变换成标准形）
——————————————————————————
正定的必要条件：（推论）
1、矩阵$A$的主对角元素大于0：$a_{ii} > 0$
2、矩阵$A$的行列式$|A|$大于0
——————————————————————————
判断非正定：
1、不满足正定的必要条件
2、不满足正定的定义",重点,二次型
矩阵合同的判断,"两个矩阵合同的充要条件：（推导合同性）
1、矩阵$A,B$具有相同的正负惯性指数
——————————————————————————
两个矩阵合同的必要条件：（合同性的推论）
1、矩阵$A,B$具有相同的正负惯性指数
2、矩阵$A,B$的秩相等",中等,二次型
二次型、标准型、规范型,"二次型化为标准型：（重点）
定理：对于任意一个n元二次型，必定存在（因为二次型对应矩阵是实对称矩阵）一个正交变换$x=Qy$，化二次型为标准形（从$x^TAx \Rightarrow y^TQ^TAQy$），即$Q^{-1}AQ=Q^TAQ=\Lambda$
1、配方法：若二次型中含有某变量的平方，则先集中处理含该变量的项，对含该变量的项配方，直至全部配成完全平方，再利用同样的方法处理含其它变量的项；若二次型中只含有混合项，则先选取其中一个，利用平方差公式将混合项转化为平方项，再进行配方
注意：在求解可逆线性变换时，如果表示的方程个数不够，注意补充（即所作的线性变换一定是可逆的）
2、正交变换：利用正交变换$x=Py$将二次型$x^TAx$化为标准形与利用正交矩阵$P$把实对称矩阵$A$化为对角矩阵的过程一致。此时二次型变为$y^TP^TAPy$，又因为$P$是正交矩阵，其中$P^TAP =P^{-1}AP= \Lambda$（注意表示格式），矩阵$A$既相似于对角矩阵，又合同于对角矩阵，二次型的标准形的系数为$A$的特征值（当求解出二次型得特征值之后，就可以得到标准型得格式）
备注：当求解二次型式子的标准型时（获得标准形或者判断曲面类型），注意化简之后的平方项里构成的变换矩阵需要是满秩的（行列式不为0，向量组线性无关），否则就需要进一步化简（被坑两次）
——————————————————————————
标准型化成规范性：
1、分析正惯性指数和负惯性指数的个数（或者将对角阵形式进一步变换）
2、构造新的二次式（注意并非是矩阵的形式）
——————————————————————————
规范型的求解：
1、正定二次型：正定二次型的规范型是系数全为1的平方和
2、秩求解项个数：利用秩判断总的项的个数，如果还能判断只有正惯性指数或者负惯性指数就可以直接写出来规范型
3、计算特征值：由特征值的正负情况得到规范型的系数
4、配方法：将二次型进行配方，得到向规范型的转换方程（要写出来这个方程），从而得到规范型
——————————————————————————
二次型不同的正交变换关系：
1、关联：二次型正交变换成标准形形式，即标准形的每一个值对应正交变换对应的列（特征值与特征向量的对应关系）；当正交矩阵的对角阵发生列的交换时，对应的特征向量也会发生响应的列变换，即列之间的变换关系","疑问, 重点",二次型
二次型与曲面关联,"判断方式：将二次型式子化成标准形式，与常见的曲面类型进行对比（$f(x,y,z)=1$）
1、椭球或者球：系数全正（从图像上看是一个包围的闭曲面）
2、单叶双曲面：两正一负（负号个数决定有几个”叶“）（从图像上看是一个连在一起的面）（双曲线旋转轴问题）
3、双叶双曲面：两负一正（负号个数决定有几个”叶“）（从图像上看是两个不相连接的面）（双曲线旋转轴问题）
4、柱面：两正一零（椭圆在一个方向上延伸）
5、双曲柱面：一正一负一零（双曲线在一个方向上延伸）
6、两个平行平面：一正两零（单个轴上的两个值在平面上延伸）
注意：曲面类型与二次型的秩有联系
备注：当求解二次型式子的标准型时（获得标准形或者判断曲面类型），注意化简之后的平方项里构成的变换矩阵需要是满秩的（或行列式不为0，或向量组线性无关），否则就需要进一步化简（被坑两次，这里又写一次，下一次不被坑就删掉）","中等, 思路",二次型
