题目,思路,属性,类型
求解期望,"简单的事件期望（单一）：
1、求解事件的分布律
2、根据定义计算期望
——————————————————————————
复杂的事件期望（事件的组合、重复类型，独立或者不独立，不影响期望的和差计算）：
1、将事件分解为简单的事件（分解的是事件，组合的是期望）
2、简单的事件利用期望的定义求解
3、将简单事件的期望进行组合
——————————————————————————
组合与重复求解期望样例：
1、筛子独立的抛三次，拆分成每一次
2、从N件产品取出n件产品，求解次品个数的期望，拆分成每一件是次品的期望，因为是求解次数，所以需要将取出是次品的变量的值设置为1即可，如果是求取出良品的个数的期望，则设置取出是良品的变量的值为1<复习全书P505 9>
3、独立重复实验n次，拆分成每一次
4、将n个球放入到N个盒子，拆分成对每一个盒子含有球的概率，对于每一个盒子，n个球过来，求解这n个球放入的概率（可以先求对立事件n个球都没有放入的概率），并将盒子有球变量设置为1（对应着这一个盒子有球）这样可以得到一个盒子有球的期望，虽然各个盒子不是独立的，但是期望的性质并没有要求独立性（妙蛙），所以可以求解
注意：对于复杂事件求解期望无论事件是否独立都可以，因为期望的性质并没有限制事件是否独立
——————————————————————————
求解独立同分布的$X,Y$，$Z=min(X,Y)$的数学期望：
1、对于类似的复杂的函数都是用二维函数定义求解：$E(Z)=E[g(X, Y)]=\int_{-\infty}^{+\infty} \int_{-\infty}^{+\infty} g(x, y) f(x, y) \mathrm{d} x \mathrm{~d} y$
2、可以先对变量进行归一化处理（将两个变量表示的函数转换成一个变量表示的函数？），归一化的函数可以利用期望的定义进行求解
3、非标准正态分布的函数转换成标准正态分布求解（正态分布标准化），可以简化计算
——————————————————————————
从概率密度求解期望：（或与变量函数进行组合）
1、求解原始变量的期望：依据连续型随机变量期望的一维定义计算
2、求解原变量一维函数的期望：依据连续型随机变量期望的一维函数定义计算
3、求解原变量二维函数的期望：依据连续型随机变量期望的二维函数定义计算（注意该情况下可能会以实际的例子出题，概率密度可能需要根据题意进行求解）（如果求解某个与另外两个连续变量相关的变量的期望，则就是这种二维函数期望类型的，即如果出现多变量组合，就组合成函数形式，求函数期望）
4、验证泊松分布的期望时，注意利用泊松分布的级数和为1的性质","中等, 思路, 疑问",随机变量的数字特征
求解随机变量与期望接近程度,"随机变量与期望的接近程度：（粗略估计）
1、切比雪夫不等式：$P\{|X-\mu| \geqslant \varepsilon\} \leqslant \frac{\sigma^{2}}{\varepsilon^{2}}$，正数 $\varepsilon$任意，随机变量$X$具有期望$E(X)=\mu$，方差$D(X)=\sigma^{2}$（该式子表示，越偏离中心范围越大，其概率越小）
注意：切比雪夫不等式主要用于估计概率，证明概率不等式","基础, 简单",大数定律和中心极限定理
随机变量序列依概率收敛的情况-大数定律,"大数定律：
1、依概率收敛的定义：$\lim_{n \rightarrow \infty} P\{|X_n-A| \le \varepsilon \}=1$，对任意$\varepsilon > 0$成立
2、切比雪夫大数定律：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{1}{n} \sum_{i=1}^{n} X_{i}-\frac{1}{n} \sum_{i=1}^{n} E\left(X_{i}\right)\right|<\varepsilon\right\}=1$，其中$X_{1}, X_{2}, \cdots, X_{n}, \cdots$是一列相互独立 的随机变量(或者两两不相关), 它们的期望与方差分别为$E\left(X_{k}\right)$, $D\left(X_{k}\right)(k=1,2, \cdots)$，并且存在常数$C$, 使得$D\left(X_{k}\right) \leqslant C(k=1,2, \cdots)$
3、辛钦大数定律（独立同分布的序列）：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{1}{n} \sum_{k=1}^{n} X_{k}-\mu\right|<\varepsilon\right\}=1$，数学期望 $E\left(X_{k}\right)=\mu,(k=1,2, \cdots)$；任意 $\varepsilon>0$
4、伯努利大数定律（$n$次独立重复试验中事件发生的次数$X_n$）：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{X_n}{n}-p\right|<\varepsilon\right\}=1$或者$\lim_{n \rightarrow \infty} P\left\{\left|\frac{X_n}{n}-p\right| \geqslant \varepsilon\right\}=0$，任意$\varepsilon>0$（这时随机变量就不是序列的形式了，但是可以将二项分布拆开看作0-1分布）
注意：切比雪夫大数定律并未要求同分布；切比雪夫大数定律是切比雪夫不等式的推论
注意：辛钦大数定律将切比雪夫大数定律推向了特殊，对趋向的值做了化简（要求同分布）
注意：伯努利大数定律将辛钦大数定律推向了特殊，对分布做了特殊要求（可以看作是0-1分布序列）
——————————————————————————
求解事件依概率收敛的值：
1、根据事件的类型套用相应的大数定律即可","中等, 基础",大数定律和中心极限定理
依概率收敛的情况-中心极限定理,"中心极限定理：
1、棣莫弗一拉普拉斯定理（二项分布）：$\lim _{n \rightarrow \infty} P\left\{\frac{X_{n}-n p}{\sqrt{n p(1-p)}} \leqslant x\right\}=\int_{-\infty}^{x} \frac{1}{\sqrt{2 \pi}} \mathrm{e}^{-\frac{t^{2}}{2}} \mathrm{~d} t=\Phi(x)$（该定理说明二项分布在n充分大时，随机变量经过标准化之后（按照二项分布的期望和方差标准化），接近标准正态分布）
2、列维一林德伯格定理（独立同分布）：$\lim_{n \rightarrow \infty} F_{n}(x)=\lim_{n \rightarrow \infty} P\left\{\frac{\sum_{k=1}^{n} X_{k}-n \mu}{\sqrt{n} \sigma} \leqslant x\right\}=\int_{-\infty}^{x} \frac{1}{\sqrt{2 \pi}} \mathrm{e}^{-\frac{t^{2}}{2}} \mathrm{~d} t=\Phi(x)$，随机变量之间互相独立，服从同一分布，具有相同的均值$\mu$和方差$\sigma^2$（均值和方差需要都存在），则随机变量的标准化分布$Y_{n}=\frac{\sum_{k=1}^{n} X_{k}-E\left(\sum_{k=1}^{n} X_{k}\right)}{\sqrt{D\left(\sum_{k=1}^{n} X_{k}\right)}}=\frac{\sum_{k=1}^{n} X_{k}-n \mu}{\sqrt{n} \sigma}$成立上式（该定理说明任何同分布在n充分大时，随机变量经过标准化之后（按照同分布的期望和和方差和来进行标准化），接近标准正态分布）
——————————————————————————
利用中心极限定理求解事件的概率：
1、判断事件的类型：二项分布或者独立同分布（问题：有些事件看似不是二项分布但是可以转换成二项分布？三项，求解一项的概率啥的）；有可能需要利用和的关系转换为相反的事件的概率（反向操作）
2、求解二项分布或独立同分布的均值和方差
3、求解标准化随机变量的范围（原始范围与标准化之后的范围对照）
4、利用分位数和标准化后的分布的性质（正态分布性质等）求解","中等, 基础",大数定律和中心极限定理
大数定律和中心极限定理的理解,"1、大数定律：各种类型的分布在随机变量较多时，收敛的值
2、中心极限定理：描述了当同分布的随机变量较多时，总体上会服从正态分布，正态分布的参数与随机变量的均值和方差有关，并且可以转换成标准正态分布（为了方便利用标准正态分布的分位数进行求解）",思路,大数定律和中心极限定理
总体、样本、统计量定义,"1、总体：研究对象的某项数量指标$X$的全体
2、样本：$X_1,X_2,\cdots X_n$相互独立且同分布，则称该序列是总体$X$的简单随机样本（样本）
3、统计量：由样本构造的不含未知数的函数",基础,数理统计的基本概念
样本的数字特征,"数字特征：
1、样本均值：$\bar{X}=\frac{1}{n} \sum_{i=1}^{n} X_{i}$
2、样本方差：$S^{2}=\frac{1}{n-1} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{2}=\frac{1}{n-1}\left(\sum_{i=1}^{n} X_{i}^{2}-n \bar{X}^{2}\right)$（样本方差和方差是具有区别的）
3、标准差：$S$
4、样本$k$阶(原点) 矩：$A_{k}=\frac{1}{n} \sum_{i=1}^{n} X_{i}^{k}, k=1,2, \cdots$（原点矩的和形式）
5、样本k阶中心矩：$B_{k}=\frac{1}{n} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{k}, k=2,3, \cdots$（原点矩的和形式）（中心是根据样本均值来定的）
——————————————————————————
数字特征性质：
1、样本均值期望：$E(\bar{X}) = \mu$（样本均值公式代入证明）
2、样本均值方差：$D(\bar{X}) = \frac{\sigma^2}{n}$（样本均值公式代入证明）
3、样本方差均值：$E(S^2) = \sigma^2$（样本方差公式代入证明）
4、样本均值期望推广：若总体$X$的$k$阶原点矩$E(X^k)=\mu_k$存在，当$n$趋近于无穷时，样本的$k$阶原点矩$\frac{1}{n}\sum_{i=1}^{n}X_i^k$依概率收敛于$\mu_k$（样本数量较多时，样本均值收敛于总体均值）","基础, 简单",数理统计的基本概念
常用统计抽样分布-卡方、T、F,"卡方分布：
0、定义：$\chi^{2} = X_1^2+X_2^2+\cdots+X_n^2 \sim \chi^{2}(n)$，自由度为$n$，$X_1,X_2,\cdots ,X_n$相互独立且服从标准正态分布
1、上侧$\alpha$分位数定义：$P\left\{\chi^{2}>\chi_{\alpha}^{2}(n)\right\}=\int_{\chi_{\alpha}^{2}(n)}^{+\infty} f(t) \mathrm{d} t=\alpha$
2、卡方均值：$E\left(\chi^{2}\right)=n$
3、卡方方差：$D\left(\chi^{2}\right)=2 n$
4、可加性：$\chi_{1}^{2}+\chi_{2}^{2} \sim \chi^{2}\left(n_{1}+n_{2}\right)$，其中$\chi_{1}^{2}, \chi_{2}^{2}$相互独立，$\chi_{1}^{2} \sim \chi^{2}\left(n_{1}\right)$，$\chi_{2}^{2} \sim \chi^{2}\left(n_{2}\right)$
注意：分位数是将面积（概率）与x轴的坐标对应了起来，卡方分布只有右边
——————————————————————————
T分布：
0、定义：$t=\frac{X}{\sqrt{Y/n}} \sim t(n)$，其中$X \sim N(0,1)$，$Y\sim \chi^{2}\left(n\right)$，且$X,Y$相互独立
1、上侧$\alpha$分位数定义：$P\left\{t>t_{\alpha}(n)\right\}=\int_{t_{\alpha}(n)}^{+\infty} f(t) \mathrm{d} t=\alpha$，
2、分位数性质：$t$分布具有对称性，$t_{1-\alpha}(n)=t_{\alpha}(n)$
注意：分位数是将面积（概率）与x轴的坐标对应了起来，T分布是关于X轴对称的
——————————————————————————
F分布：
0、定义：$F=\frac{U / n_{1}}{V / n_{2}} \sim F\left(n_{1}, n_{2}\right)$，其中$U \sim \chi^{2}\left(n_{1}\right)$，$ V \sim \chi^{2}\left(n_{2}\right)$，且$U,V$相互独立；并且由定义可知$\frac{1}{F} \sim F\left(n_{2}, n_{1}\right)$
1、上侧$\alpha$分位数定义：$P\left\{F>F_{\alpha}\left(n_{1}, n_{2}\right)\right\}=\int_{F_{\alpha}\left(n_{1}, n_{2}\right)}^{+\infty} f(t) \mathrm{d} t=\alpha$
2、分位数性质：$F_{1-\alpha/2}(n_{2},n_{1})=\frac{1}{F_{{\alpha}/{2}}\left(n_{1}, n_{2}\right)}$（三变性质）
注意：分位数是将面积（概率）与x轴的坐标对应了起来，F分布只有右边","基础, 简单",数理统计的基本概念
常用统计抽样分布-正态（区间估计和假设检验的核心）,"单个正态总体：
1、定义：设总体$X \sim N\left(\mu, \sigma^{2}\right), X_{1}, X_{2},\cdots, X_{n}$是来自$X$的样本，样本均值$\bar{X}=\frac{1}{n} \sum_{i=1}^{n} X_{i}$, 样本方差$S^{2}=\frac{1}{n-1} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{2}$
2、性质
2.1 样本均值分布：$\bar{X} \sim N\left(\mu, \frac{\sigma^{2}}{n}\right)$，标准化之后为$U=\frac{\bar{X}-\mu}{\sigma / \sqrt{n}} \sim N(0,1)$
2.2 样本方差构造卡方分布：$\chi^{2}=\frac{(n-1) S^{2}}{\sigma^{2}} \sim \chi^{2}(n-1)$（推导：$\frac{(n-1) s^{2}}{\sigma^{2}} =\frac{\sum_{i=1}^{n}\left(x_{i}-\bar{x}\right)^{2}}{\sigma^{2}} =\sum_{i=1}^{n}\left(\frac{x_{i}}{\sigma}-\frac{\bar{x}}{\sigma}\right)^{2} =\sum_{i=1}^{n}\left(\frac{x_{i}-\mu}{\sigma}-\frac{\bar{x}-\mu}{\sigma}\right)^{2} =\sum_{i=1}^{n}\left(Z_{i}-\bar{Z}\right)^{2} =\sum_{i=1}^{n} Z_{i}^{2}-n \bar{Z}^{2}$）
2.3 样本均值和样本方差构造$T$分布：$T=\frac{\bar{X}-\mu}{S / \sqrt{n}} \sim t(n-1)$（推导：利用标准化的$U$和满足卡方分布的$\frac{(n-1) S^{2}}{\sigma^{2}} \sim \chi^{2}(n-1)$构造）
2.4 中心矩分布：$\chi^{2}=\frac{1}{\sigma^{2}} \sum_{i=1}^{n}\left(X_{i}-\mu\right)^{2} \sim \chi^{2}(n)$（注意与样本方差构造卡方分布的区别）（推导：就是将样本标准化成标准正态分布后的平方和）
——————————————————————————
两个正态总体：
1、定义：设$X_{1}, X_{2}, \cdots, X_{n_{1}}$与$Y_{1}, Y_{2}, \cdots,Y_{n_{2}}$分别是来自正态总体$N\left(\mu_{1}, \sigma_{1}^{2}\right)$和$N\left(\mu_{2}, \sigma_{2}^{2}\right)$的样本,且这两个样本相互独立. 设$\bar{X}=\frac{1}{n_{1}} \sum_{i=1}^{n_{1}} X_{i}$，$\bar{Y}=\frac{1}{n_{2}} \sum_{i=1}^{n_{2}} Y_{i}$分别是这两个样本的样本均值; $S_{1}^{2}=\frac{1}{n_{1}-1} \sum_{i=1}^{n_{1}}\left(X_{i}-\bar{X}\right)^{2}$, $S_{2}^{2}=\frac{1}{n_{2}-1} \sum_{i=1}^{n_{2}}\left(Y_{i}-\bar{Y}\right)^{2}$分别是这两个样本的样本方差
2、性质
2.1 均值差构造的正态的分布：$\bar{X}-\bar{Y} \sim N\left(\mu_{1}-\mu_{2}, \frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}\right)$（即正态分布的组合），标准化$ U=\frac{(\bar{X}-\bar{Y})-\left(\mu_{1}-\mu_{2}\right)}{\sqrt{\frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}}} \sim N(0,1)$
2.2 均值和样本方差构造$T$分布（需要$\sigma_{1}^{2}=\sigma_{2}^{2}=\sigma^{2}$）：$\frac{(\bar{X}-\bar{Y})-\left(\mu_{1}-\mu_{2}\right)}{S_{w} \sqrt{\frac{1}{n_{1}}+\frac{1}{n_{2}}}} \sim t\left(n_{1}+n_{2}-2\right)$，$S_{w}^{2}=\frac{\left(n_{1}-1\right) S_{1}^{2}+\left(n_{2}-1\right) S_{2}^{2}}{n_{1}+n_{2}-2}, \quad S_{w}=\sqrt{S_{w}^{2}}$（推导：利用上述标准化的$U$和满足卡方分布的$\frac{(n_1-1) S_1^{2}}{\sigma_1^{2}} \sim \chi^{2}(n_1-1)$和$\frac{(n_2-1) S_2^{2}}{\sigma_2^{2}} \sim \chi^{2}(n_2-1)$，以及卡方分布具有可加性，以及$U$和相加后的卡方分布之间的独立性）
2.3 样本方差构造$F$分布：$\frac{S_{1}^{2} / S_{2}^{2}}{\sigma_{1}^{2} / \sigma_{2}^{2}} \sim F\left(n_{1}-1, n_{2}-1\right)$（推导：满足卡方分布的$\frac{(n_1-1) S_1^{2}}{\sigma_1^{2}} \sim \chi^{2}(n_1-1)$和$\frac{(n_2-1) S_2^{2}}{\sigma_2^{2}} \sim \chi^{2}(n_2-1)$，以及两个卡方分布之间的独立性）
疑问：对于构造T分布时，标准化的U和相加后的卡方分布为什么具有独立性","困难, 基础, 疑问",数理统计的基本概念
总体的样本的相关计算,"样本满足条件的概率：（或已知概率求解未知参数）
1、将来自总体的样本依照常用的统计抽样分布的条件转换，得到标准分布（概率论思想：标准化）
2、依照标准分布求解概率
——————————————————————————
样本满足某种分布：（证明）
1、依照常用的统计抽样分布的性质（各部分的独立性）对样本函数的各个部分进行证明验证
——————————————————————————
样本构成的函数的期望：（类似于矩估计量的进一步求解）
1、单个正态总体的统计抽样分布性质
2、函数的拆分组合，依据概率分布的定义求解：$P\{ X_n > max(X_1,X_2,\cdots,X_{n-1})\} = P\{ X_n > X_1,X_n >X_2,\cdots,X_n >X_{n-1})\}$
——————————————————————————
样本的联合概率密度或概率分布：
1、相互独立的随机变量的联合概率密度：连续情况下，若已知样本概率密度，则来自总体的样本的联合概率密度为各个样本的概率密度相乘
2、先求得分布函数：在题目已知条件下，可以求得联合概率密度的分布函数，由分布函数求导得到概率密度
3、相互独立的随机变量的联合概率分布：离散情况下，来自总体的样本的联合概率分布为各个样本的概率分布乘积
4、离散变量均值的分布：离散情况下，求解均值（一种样本函数）的分布（如果总体分布为泊松分布，注意泊松分布具有可加性）",中等,数理统计的基本概念
估计定义,"1、点估计：用样本$X_1,X_2,\ldots,X_n$构造统计量$\hat \theta(X_1,X_2,\ldots,X_n)$来估计未知参数$\theta$称为点估计，统计量$\hat \theta(X_1,X_2,\ldots,X_n)$称为估计量
2、无偏估计量：$\hat \theta$是$\theta$的无偏估计量，如果$E(\hat \theta)=\theta$，则称$\hat \theta=\hat \theta(X_1,X_2,\ldots,X_n)$是未知参数$\theta$的无偏估计量
3、更有效估计量：设$\hat \theta_1$和$\hat \theta_2$都是$\theta$的无偏估计量，且$D(\hat \theta_1) \le D(\hat \theta_2)$，则称$\hat \theta_1$比$\hat \theta_2$更有效，或$\hat \theta_1$比$\hat \theta_2$更有效估计量
4、一致估计量：设$\hat \theta(X_1,X_2,\ldots,X_n)$是$\theta$的估计值，如果估计值$\hat \theta$依概率收敛于未知参数$\theta$，则称$\hat \theta(X_1,X_2,\ldots,X_n)$是$\theta$的一致估计量",基础,参数估计
求估计量-矩估计,"矩估计法：
1、未知参数表示：列出未知参数用矩表示的表示式（列出未知参数与总体的矩的关系式）（当一阶矩与未知参数没有关系时（比如一阶矩为0），求解二阶矩）（备注：其中矩可以根据题目情况选择原点矩或者中心矩，看未知参数用总体的什么矩表示更方便）
2、样本矩替换矩得到估计量：由样本的等于总体矩得到未知参数的估计量（将关系式中的总体矩替换成样本矩，未知参数就需要转换为估计量的说法，变成了估计量与样本矩的表示式，样本矩是可以从样本计算的，所以估计量就可以求出来了）
3、进一步求解估计量的数字特征：当需要求解估计量或者估计量表达式的期望时，将求解的估计量（用样本表示的）代入到待求解的期望表达式，转换成求解样本的数字特征，由于样本具有与总体一样的数字特征，所以使用总体的概率密度或者相关表达式进行求解（求解的结果等于未知参数或者未知参数的表达式（与估计量一样的表达式））
备注：矩估计含义是以已知的样本的矩来估计总体的矩中的未知参数
注意：在矩估计中是用不到样本方差的表达式的（因为都是用矩估计的）
——————————————————————————
求解参数的矩估计量：
1、一个待估计参数只需要一个方程，一阶矩（如果一阶矩与未知参数没有关系，需要求二阶矩）
2、两个待估计参数需要两个方程，一阶矩和二阶矩方程
3、列出的方程的关系是样本的矩和总体的矩相等或者是样本中心矩和总体中心矩相等
注意：参数的估计量中的未知变量只能有样本相关的量（如果样本是具体的数值，则估计量也是数值）","中等, 基础",参数估计
求估计量-最大似然估计法,"1、列出关于未知变量的似然函数（似然函数是根据样本点的值对应的概率密度相乘得到的）
2、有驻点：求解方程达到最大值的点（直接求导或者取对数后求导等于0的点），对应的未知变量的值就是待求解的值
3、没有驻点：从题目中找到关于未知参数的限制关系，根据最大似然函数单调性找到使得最大似然函数最大点的值
注意：写出似然函数后就是求解最大值的问题，如果似然函数存在驻点则在驻点中找；如果由导数没有驻点或不可导，用其它方法找使得似然函数最大值的点","中等, 基础",参数估计
求估计量-区间估计,"区间估计：
1、理解置信区间：当估计未知量时，利用已有的东西（均值，方差，均值差之类的）构成一个分布（正态分布，卡方分布，T分布，F分布）并将分布标准化（标准化后的正态分布，卡方分布，T分布，F分布），置信区间是该标准分布的一个区间内时（该区间的概率值为$1-\alpha$，并叫置信度为$1-\alpha$的置信区间），待估计的未知量的范围（基本公式为$P\{ \theta_1 < \theta < \theta_2 \} = 1-\alpha$，则置信区间为$(\theta_1 , \theta_2)$，也就是标准分布在置信区间内的概率等于置信度）（两侧或者单侧的概率就是$\alpha$）
——————————————————————————
有关置信区间的未知量求解：
1、利用置信区间的性质（正态分布和$T$分布的对称性，$F$分布的三变性质）
注意：对称轴的位置可能不在原点，可绘制坐标图辅助理解","中等, 基础",参数估计
区间估计-一个正态总体的区间估计,"1、一个正态总体的区间估计利用了单个正态总体的抽样分布
2、如果要估计$\mu$，$\sigma^{2}$已知，需要用样本均值构造的正态分布（$\bar{X} \sim N\left(\mu, \frac{\sigma^{2}}{n}\right)$，标准化$U=\frac{\bar{X}-\mu}{\sigma / \sqrt{n}} \sim N(0,1)$，因为这个分布中除了$\mu$其它值（$\sigma^{2}$，样本个数$n$，样本均值$\bar{X}$）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准正态分布观测的区间，自然会找到$(−u_{\alpha/2},u_{\alpha/2})$，则待估计量$\mu$的估计区间为$\left(\bar{X}-u_{{\alpha}/{2}} \frac{\sigma}{\sqrt{n}}, \quad \bar{X}+u_{{\alpha}/{2}} \frac{\sigma}{\sqrt{n}}\right) $（因为正态分布是双侧的，所以对两侧的概率每一边都是$\alpha/2$，即让标准化的$U$落在$(-u_{{\alpha}/{2}},u_{{\alpha}/{2}})$区间，从而求得$\mu$的估计区间）
3、如果要估计$\mu$，$\sigma^{2}$未知，需要用样本均值和样本方差构造的$T$分布（$T=\frac{\bar{X}-\mu}{S / \sqrt{n}} \sim t(n-1)$，因为这个分布中除了$\mu$其它值（样本方差$S^2$，样本个数$n$，样本均值$\bar{X}$）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准$T$分布观测的区间，自然会找到$(−t_{\alpha/2}(n-1),t_{\alpha/2}(n-1))$，则待估计量$\mu$的估计区间为$\left(\bar{X}-t_{{\alpha}/{2}}(n-1) \frac{S}{\sqrt{n}}, \quad \bar{X}+t_{{\alpha}/{2}}(n-1) \frac{S}{\sqrt{n}}\right)$（因为T分布是双侧的，所以对两侧的概率每一边都是$\alpha/2$，即让标准化的$T$落在$(−t_{\alpha/2}(n-1),t_{\alpha/2}(n-1))$区间，从而求得$\mu$的估计区间）
4、如果要估计$\sigma^{2}$值，需要用样本方差构造的卡方分布（$\chi^{2}=\frac{(n-1) S^{2}}{\sigma^{2}} \sim \chi^{2}(n-1)$，因为这个分布中除了$\sigma^{2}$其它值（样本方差$S^2$，样本个数$n$）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准卡方分布观测的区间，自然会找到$(\chi_{{\alpha}/{2}}^{2}(n-1),\chi_{1-{\alpha}/{2}}^{2}(n-1))$，则待估计量$\sigma^{2}$的估计区间为$\left(\frac{(n-1) S^{2}}{\chi_{{\alpha}/{2}}^{2}(n-1)}, \frac{(n-1) S^{2}}{\chi_{1-{\alpha}/{2}}^{2}(n-1)}\right)$（因为卡方分布是单侧的，所以使单侧的两边的概率每一边都是$\alpha/2$，即让标准化的卡方变量落在$(\chi_{{\alpha}/{2}}^{2}(n-1),\chi_{1-{\alpha}/{2}}^{2}(n-1))$区间，从而求得$\mu$的估计区间）",困难,参数估计
区间估计-两个正态总体的区间估计,"1、两个正态总体的区间估计利用了两个正态总体的抽样分布
2、如果要估计$\mu_1-\mu_2$，$\sigma_{1}^{2}$和$\sigma_{2}^{2}$已知，需要用均值差构造的正态的分布（$\bar{X}-\bar{Y} \sim N\left(\mu_{1}-\mu_{2}, \frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}\right)$，标准化$ U=\frac{(\bar{X}-\bar{Y})-\left(\mu_{1}-\mu_{2}\right)}{\sqrt{\frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}}} \sim N(0,1)$，因为这个分布中除了$\mu_{1}-\mu_{2}$其它值（$\sigma_{1}^{2},\sigma_{2}^{2}$，样本个数$n_1,n_2$，样本均值$\bar{X},\bar{Y}$）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准正态分布观测的区间，自然会找到$(−u_{\alpha/2},u_{\alpha/2})$，则待估计量$\mu_1-\mu_2$的估计区间为$ \left(\bar{X}-\bar{Y}-u_{{\alpha}/{2}} \sqrt{\frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}}, \bar{X}-\bar{Y}+u_{{\alpha}/{2}} \sqrt{\frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}}\right)$
3、如果要估计$\mu_1-\mu_2$，$\sigma_{1}^{2}$和$\sigma_{2}^{2}$值未知，但是已知$\sigma_{1}^{2}=\sigma_{2}^{2}$，需要用均值和样本方差构造$T$分布（（需要$\sigma_{1}^{2}=\sigma_{2}^{2}=\sigma^{2}$）：$\frac{(\bar{X}-\bar{Y})-\left(\mu_{1}-\mu_{2}\right)}{S_{w} \sqrt{\frac{1}{n_{1}}+\frac{1}{n_{2}}}} \sim t\left(n_{1}+n_{2}-2\right)$，$S_{w}^{2}=\frac{\left(n_{1}-1\right) S_{1}^{2}+\left(n_{2}-1\right) S_{2}^{2}}{n_{1}+n_{2}-2}, \quad S_{w}=\sqrt{S_{w}^{2}}$，因为这个分布中除了$\mu_{1}-\mu_{2}$其它值（$S_{1}^{2},S_{2}^{2}$，样本个数$n_1,n_2$，样本均值$\bar{X},\bar{Y}$，$\sigma_{1}^{2}=\sigma_{2}^{2}=\sigma^{2}$是T分布的要求）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准$T$分布观测的区间，自然会找到$(−t_{\alpha/2}(n_{1}+n_{2}-2),t_{\alpha/2}(n_{1}+n_{2}-2))$，则待估计量$\mu_1-\mu_2$的估计区间为$\left(\bar{X}-\bar{Y}-t_{{\alpha}/{2}}\left(n_{1}+n_{2}-2\right) S_{w} \sqrt{\frac{1}{n_{1}}+\frac{1}{n_{2}}}\right. ,\left.\bar{X}-\bar{Y}+t_{{\alpha}/{2}}\left(n_{1}+n_{2}-2\right) S_{\omega} \sqrt{\frac{1}{n_{1}}+\frac{1}{n_{2}}}\right)$
4、如果要估计$\frac{\sigma_{1}^{2}}{\sigma_{2}^{2}}$值，需要用样本方差构造$F$分布（$\frac{S_{1}^{2} / S_{2}^{2}}{\sigma_{1}^{2} / \sigma_{2}^{2}} \sim F\left(m-1, n-1\right)$，因为这个分布中除了$\frac{\sigma_{1}^{2}}{\sigma_{2}^{2}}$其它值（$S_{1}^{2},S_{2}^{2}$，样本个数$n_1,n_2$）都是已知的，可以套用基本公式得出待估计量的置信区间），找一个以$1−α$概率涵盖标准卡方分布观测的区间，自然会找到$(F_{1-\alpha/2}(m−1,n−1)=\frac{1}{F_{{\alpha}/{2}}\left(n−1, m−1\right)},F_{\alpha/2}(m−1,n−1))$，则待估计量$\frac{\sigma_{1}^{2}}{\sigma_{2}^{2}}$的估计区间为$\left(\frac{S_{1}^{2}}{S_{2}^{2}} \cdot \frac{1}{F_{{\alpha}/{2}}\left(n_{1}-1, n_{2}-1\right)}, \frac{S_{1}^{2}}{S_{2}^{2}} F_{{\alpha}/{2}}\left(n_{2}-1, n_{1}-1\right.\right)$（因为F分布是单侧的，所以使单侧的两边的概率每一边都是$\alpha/2$，即让标准化的$F$变量落在$(F_{1-\alpha/2}(m−1,n−1)=\frac{1}{F_{{\alpha}/{2}}\left(n−1, m−1\right)},F_{\alpha/2}(m−1,n−1))$区间，从而求得$\mu$的估计区间）",困难,参数估计
