题目,思路,章节
方向导数、梯度、散度、旋度-题型,"函数梯度的旋度为0：
1、代入公式求解即可，对任意函数均成立
——————————————————————————
函数梯度的散度为定值，求解函数：
1、代入公式建立方程
注意：可能会用到常微分方程
——————————————————————————",多元积分
积分注意事项,"1、加绝对值：当定积分或者不定积分的原函数包含$ln$类型函数，如果在定义域上$ln$内部的值有小于零的部分，则$ln$内部需要加上绝对值；根号下的换元，在开完根号之后需要加上绝对值（如果开完根号之后的东西在积分域上大于零可以不加）
2、不定积分换元，等积分完之后，还要将变量换回去
3、求不出来的部分可以往后求一求看能不能化简掉（分部积分中得到了原积分的形式）
注意：不定积分换元一定要将变量换回去！！",一元积分
求解第二类曲面积分,"步骤：
1、如果是闭曲面，先考虑高斯公式；如果不是闭曲面，考虑用直接法，如果直接法不方便时，补面使用高斯公式
——————————————————————————
求解方法：
1、高斯公式：（连接空间上第二类曲面积分与三重积分）设空间闭区域$\Omega$是由分片光滑的闭曲面$\Sigma$所围成, 函数$P(x, y, z), Q(x, y, z), R(x, y, z)$在$\Omega$上有连续一阶偏导数，闭曲面$\Sigma$取外侧，则$\oiint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=\iiint_{\Omega}\left(\frac{\partial P}{\partial x}+\frac{\partial Q}{\partial y}+\frac{\partial R}{\partial z}\right) \mathrm{d} V$（备注：一定要注意区域内是否有不连续的点<分母为0等>！！！）（对闭曲面的积分转换为对体积的三重积分）
2、补面使用高斯公式：$\iint_{\Sigma}=\oiint_{\Sigma+\Sigma_{1}}-\iint_{\Sigma_{1}}$
3、直接法：设有向曲面$\Sigma: z=z(x, y),(x, y) \in D_{x y}$，则$\iint_{\Sigma} R(x, y, z) \mathrm{d} x \mathrm{~d} y=\pm \iint_{D_{x y}} R(x, y, z(x, y)) \mathrm{d} x \mathrm{~d} y$，若有向曲面$\Sigma$的法向量与$z$轴正向夹角为锐角，即上侧，上式中取“+"" 号，否则取“-""号，按照类似的求解$\iint_{\Sigma} P(x, y, z) \mathrm{d} y \mathrm{~d} z+Q(x, y, z) \mathrm{d} z \mathrm{~d} x+R(x, y, z) \mathrm{d} x \mathrm{~d} y$（将每一项第二类曲面积分都化为二重积分计算，计算三项计算量特别大，通常在对三项归一化之后再化为二重积分计算）
4、直接法（一次性）：如果整个曲面$\Sigma$可用方程$z=z(x, y)$(或$x=x(y, z), y=y(x, z)$)表示，则可一次将以上面积分化为一个重积分计算，例如有向曲面$\Sigma$由方程$z=z(x, y)$给出，$\Sigma$在$x O y$面上的投影域为$D_{x y}$，并且$z(x, y)$在$D_{x y}$上有连续一阶偏导数，$P(x, y, z), Q(x, y, z), R(x, y, z)$在$\Sigma$上连续，则$\iint_{\Sigma} P(x, y, z) \mathrm{d} y \mathrm{~d} z+Q(x, y, z) \mathrm{d} z \mathrm{~d} x+R(x, y, z) \mathrm{d} x \mathrm{~d} y = \pm \iint_{D_{x y}}[P(x, y, z(x, y))\left(-\frac{\partial z}{\partial x}\right)+Q(x, y, z(x, y))\left(-\frac{\partial z}{\partial y}\right)+R(x, y, z(x, y))] \mathrm{d} x \mathrm{~d} y$，若有向曲面$\Sigma$的法向量与$z$轴正向夹角为锐角，即上侧，上式中取“+"" 号，否则取“-""号（备注：注意曲面的方向）（该式子是根据第一类曲面积分和第二类曲面积分的关系推导的，无论曲面是什么方向，曲面的归一化式子始终是$\iint_{\Sigma} P(x, y, z) \mathrm{d} y \mathrm{~d} z+Q(x, y, z) \mathrm{d} z \mathrm{~d} x+R(x, y, z) \mathrm{d} x \mathrm{~d} y =  \iint_{\Sigma}[P(x, y, z(x, y))\left(-\frac{\partial z}{\partial x}\right)+Q(x, y, z(x, y))\left(-\frac{\partial z}{\partial y}\right)+R(x, y, z(x, y))] \cos \gamma \ \mathrm{d} S$，再转换到平面上时，由$\mathrm{~d} x \mathrm{~d} y = |\cos \gamma | \ \mathrm{d} S$（注意此时是平面的$\mathrm{~d} x \mathrm{~d} y$，如果是曲面的$\mathrm{~d} x \mathrm{~d} y$表示为$\mathrm{~d} x \mathrm{~d} y = \cos \gamma  \ \mathrm{d} S$，曲面的正负性还在曲面方向表示上），最终化为了一个第二类曲面积分，由$\cos \gamma$的正负性，即与$z$轴的夹角带来正负号，即归一化，然后再利用直接法化为平面上的二重积分）（总的来说分两步走，先归一化，再用直接法转为二重积分）
——————————————————————————
化简方法：
1、当待积分区域在某一个平面上投影为一条曲线时，该面上的第二类曲面积分为0
——————————————————————————
注意：没有对称性和奇偶性
备注：高斯公式条件是函数具有连续一阶偏导数，注意确认题目是否满足",多元积分
面方程,"平面的表示：
1、一般式：$A x+B y+C z+D=0, n=\{A, B, C\}$为平面法向量，其中$A, B, C$不全为0（$A,B,C$确定平面的方向，$D$确定平面的位置）
2、点法式：$A\left(x-x_{0}\right)+B\left(y-y_{0}\right)+C\left(z-z_{0}\right)=0$，其中$\left(x_{0}, y_{0}, z_{0}\right)$为平面上任意一点，$n=\{A, B, C\}$为平面法向量，其中$A, B, C$不全为0（$A,B,C$确定平面的方向，$\left(x_{0}, y_{0}, z_{0}\right)$确定平面的位置）
3、截距式：$\frac{x}{a}+\frac{y}{b}+\frac{z}{c}=1$，其中$a, b, c$分别为平面在三个坐标轴上的截距且均不为零（平面与坐标轴的三个交点$a, b, c$确定一个平面）
——————————————————————————
建立平面方程：
1、直接：已知平面上的一个点$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$和平面的法向量$\boldsymbol{n}=\{A, B, C\}$可确定平面
2、间接：已知平面$\Pi$上的一个点$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$及与平面$\Pi$平行的两个不共线的向量$\boldsymbol{a}=\left\{a_{x}\right., \left.a_{y}, a_{z}\right\}, b=\left\{b_{x}, b_{y}, b_{z}\right\}$，则可确定平面$\Pi$，此时建立平面方程利用的是以下思路：设$P(x, y, z)$为所求平面$\Pi$上任一点, 则三向量$\overrightarrow{P_{0} P}, a, b$共面, 即有$\left(\overline{P_{0}} \vec{P} a b\right)=0$，所求平面方程为$\left|\begin{array}{ccc} x-x_{0} & y-y_{0} & z-z_{0} \\ a_{x} & a_{y} & a_{z} \\ b_{x} & b_{y} & b_{z} \end{array}\right|=0$（点法式）
——————————————————————————
求解两平面表示的曲线的参数方程：（思路）
1、将三维曲线映射到一个平面上（消去一个变量），先求两个未知量的参数方程
2、将两个未知量的参数方程代入到其中一个平面方程中得到第三个未知量的参数方程
备注：即先有平面方程，再让平面曲线站起来（应用现有的变量关系构成第三个维度）
——————————————————————————",向量代数与空间几何
二重与三重积分-求解步骤和化简,"步骤：
1、先考虑对称性和奇偶性化简
2、根据积分区域和被积分函数的方程选择合适的坐标系进行积分
3、选择合适的积分次序，必要时对区域进行分块
——————————————————————————
奇偶性对称性应用：
1、对称性：仅对积分平面有要求（积分平面关于$y=x$对称，变量就可以互换）（当区域对称时，无论是在什么情况下，都要考虑到这还有对称性可以用）
2、奇偶性：对积分平面和被积函数都有要求（积分平面在积分方向上对称、被积函数在积分方向上有奇偶性，积分可以为0或折叠）
3、可平移：可平移前提是积分平面平移后出现某一个方向的奇偶性，平移方法为被积函数向积分平面平移后出现奇偶性的方向的反向进行同样大小的变换（相当于平移坐标轴使得新的坐标轴下有关于积分平面的奇偶性）（可平移是为了得到奇偶性简化计算，奇偶性能否应用还是要看奇偶性的应用条件：积分平面+被积函数的要求）",多元积分
重积分与函数、微分结合,"求解带有二重积分的极限：
1、交换积分上下限（有可能），利用洛必达法则
2、利用积分中值定理，转换成面积与中值的乘积
——————————————————————————
二重积分-变上限累次积分求导：
1、累次积分交换次序，变换成先积分与表示的函数无关的变量<复习全书P223>",多元积分
通识公式,"1、海伦公式（求三角形面积）：$S=\sqrt{p(p-x)(p-y)(p-z)}=\frac{1}{2} y h$（其中$p$是三角形半周长）
2、$e$的不等式：$\left(1+\frac{1}{n}\right)^{n}<\mathrm{e}<\left(1+\frac{1}{n}\right)^{n+1}$（n为正整数）
3、伽马函数积分：伽马函数定义为$\Gamma(z)=\int_{0}^{\infty} t^{z-1} \mathrm{e}^{-t} \mathrm{~d} \mathrm{t}$，伽马函数的递推公式$\Gamma(z+1)=z \Gamma(z)$（成立条件为z是非负整数和非0以外的所有值），并且$\Gamma\left(\frac{1}{2}\right) =\sqrt{\pi}$；$\Gamma(1) =0 !$（对于其它的值利用递推公式递推即可）
——————————————————————————",微积分通识
按照定义求解一点的导数,"明确的由已知可得需要用定义求解：
1、先讨论连续性：不连续的函数一定不可导
2、利用定义求解该点处的左右导数：如果两边函数相同，则利用一次定义式即可求解，定义式极限存在则导数存在；如果两边函数不同，则需要分别对两边进行定义式求左右导数，左右导数都存在且相等则导数存在
——————————————————————————
隐含的需要已知式子凑成包含定义式的式子：
1、确定求导位置：凑成在指定点的导数定义式
2、凑定义式：通过对式子进行变换，凑出定义式（分离出来导数的定义式和另一个简单的形式相乘，转换成求解两个极限式相乘）
注意：将极限进行拆分时，拆分后的两个极限需要都存在",一元微分
常用的导数恒等式变换（证明构造）,"1、$\xi f^{\prime}(\xi)+f(\xi)=0$：$[x f(x)]^{\prime}=x f^{\prime}(x)+f(x)$
2、$\xi f^{\prime}(\xi)+n f(\xi)=0$：$\left[x^{n} f(x)\right]^{\prime}=x^{n-1}\left[x f^{\prime}(x)+n f(x)\right]$
3、$\xi f^{\prime}(\xi)-f(\xi)=0$：$\left[\frac{f(x)}{x}\right]^{\prime}=\frac{x f^{\prime}(x)-f(x)}{x^{2}}$
4、$\xi f^{\prime}(\xi)-n f(\xi)=0$：$\left[\frac{f(x)}{x^{n}}\right]^{\prime}=\frac{x f^{\prime}(x)-n f(x)}{x^{n+1}}$
5、$f^{\prime}(\xi)+\lambda f(\xi)=0$：$\left[\mathrm{e}^{\lambda x} f(x)\right]^{\prime}=\mathrm{e}^{\lambda x}\left[f^{\prime}(x)+\lambda f(x)\right]$
6、$f^{\prime}(\xi)-\lambda f(\xi)=0$：$\left[\mathrm{e}^{-\lambda x} f(x)\right]^{\prime}=\mathrm{e}^{-\lambda x}\left[f^{\prime}(x)-\lambda f(x)\right]$
7、$f(\xi) f^{\prime \prime}(\xi)+\left[f^{\prime}(\xi)\right]^{2}=0$：$\left[f(x) f^{\prime}(x)\right]^{\prime}=f(x) f^{\prime \prime}(x)+\left[f^{\prime}(x)\right]^{2}$
备注：把上述导数恒等式中的$f$换成$f^{\prime}$，$f^{\prime}$换成$f^{\prime \prime}$，$f^{\prime \prime}$换成$f^{\prime \prime \prime}$，可以用于证明含高阶导数的等式
注意：非以上类型，如果出现跨阶的情况，先进行补阶，函数替换后转换成以上形式（补阶操作类似于求解递推公式的方法）
注意：如果上述的值不为0，需要将非零值挪到左边，右边继续保存零值，此时左边常数部分的构造要与需要构造的形式综合考虑","一元微分,一元积分"
求解第二类曲线积分（三维）,"三维空间积分定义：$\int_{L} P(x, y, z) \mathrm{d} x+Q(x, y, z) \mathrm{d} y+R(x, y, z) \mathrm{d} z$
1、参数式法：曲线$L:\left\{\begin{array}{l}x=x(t) \\ y=y(t), t \in[\alpha, \beta] \text { 或 } t \in[\beta, \alpha]\\ z=z(t),\end{array}\right.$，则$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y+R \mathrm{~d} z= \int_{a}^{\beta}\left[P(x(t), y(t), z(t)) x^{\prime}(t)+Q(x(t), y(t), z(t)) y^{\prime}(t)+R(x(t), y(t), z(t)) z^{\prime}(t)\right] \mathrm{d} t$（计算简单，不容易出错）
2、斯托克斯公式法：（连接空间上第二类曲线积分与第一类曲面积分或第二类曲面积分）设$\Gamma$为分段光滑的空间有向闭曲线，$\Sigma$是以$\Gamma$为边界的分段光滑有向曲面，$\Gamma$的方向与$\Sigma$的方向符合右手法则，$P, Q, R$在$\Sigma$上有连续一阶偏导数，则$\oint_{\Gamma} P \mathrm{~d} x+Q \mathrm{~d} y+R \mathrm{~d} z=\iint_{\Sigma}\left(\frac{\partial R}{\partial y}-\frac{\partial Q}{\partial z}\right) \mathrm{d} y \mathrm{~d} z+\left(\frac{\partial P}{\partial z}-\frac{\partial R}{\partial x}\right) \mathrm{d} z \mathrm{~d} x+\left(\frac{\partial Q}{\partial x}-\frac{\partial P}{\partial y}\right) \mathrm{d} x \mathrm{~d} y$（也可以记为$\iint_{\Sigma}\left|\begin{array}{ccc}\cos \alpha & \cos \beta & \cos \gamma \\\frac{\partial}{\partial x} & \frac{\partial}{\partial y} & \frac{\partial}{\partial z} \\P & Q & R\end{array}\right| d S=\oint_{\Gamma} P d x+Q d y+R d z$）（将第二类曲线积分转换为第一类曲面积分，其中正负符号是在曲面法线向量中确定的）
3、将$z$关于$x,y$的方程直接代入，转换为二维第二类曲线积分<复习全书P247>",多元积分
积分的方法-汇总,"不定积分和定积分：
1、基本积分公式形式
2、不定积分的性质：对积分进行拆分求解
3、不定积分的凑微分求积分法（第一换元法）：$\int f(\varphi(x)) \varphi^{\prime}(x) \mathrm{d} x =\int f(\varphi(x)) \mathrm{d} \varphi(x) $，命$\varphi(x)=u$，得$\int f(u) \mathrm{d} u $，如果$F(u)+C $，则$F(\varphi(x))+C$（换元积分之后，最后又换回了原来的变量）（变量不换回去就是标准的零分）
4、不定积分的换元积分法（第二换元法）：$\int f(x) \mathrm{d} x \stackrel{x=\varphi(t)}{=}\left(\int f(\varphi(t)) \varphi^{\prime}(t) \mathrm{d} t\right)_{t=\psi(x)}$
5、常见的几种求解不定积分的方法
7、不定积分的分部积分法
注意：不定积分不加C，标准的零分
——————————————————————————
定积分的积分：
1、不定积分的积分方法+牛顿-莱布尼茨定理
2、定积分的性质：对积分进行拆分求解（包括对函数的拆分，与不定积分一致；和对区间的拆分，处理对称性和奇偶性）
3、定积分的换元积分法：上下限注意同步变换
4、定积分的分部积分法：常见的几种分部的类型
5、几个十分有用的定积分公式：偶函数，奇函数、周期函数的积分、华里士公式（用分布积分推导的）
其它求解方法：（骚操作思路）
1、部分分式展开：
2、凑的方法拆项：分子拆分或者拆项得到的两项与分母的部分有相似的形式
3、含有高次方的：将低次方的合并到d中（类似于$xdx$变为$\frac{1}{2}dx^2$）
4、三角函数对称1：（$sin$或者$cos^2$在$(0,\pi)$区间内的对称性）对于积分$A=\int_{0}^{\pi} \frac{x \sin x}{1+\cos ^{2} x} \mathrm{~d} x$，作积分变量代换$x=\pi-t$，于是有$A=\int_{0}^{\pi} \frac{\pi \sin t}{1+\cos ^{2} t} \mathrm{~d} t-\int_{0}^{\pi} \frac{t \sin t}{1+\cos ^{2} t} \mathrm{~d} t=\int_{0}^{\pi} \frac{\pi \sin t}{1+\cos ^{2} t} \mathrm{~d} t-A$，所以$A=\int_{0}^{\pi} \frac{\pi \sin t}{1+\cos ^{2} t} \mathrm{~d} t$
5、三角函数对称2：（$cos$与$sin$对称）对于积分$I=\int_{0}^{\frac{\pi}{2}} \frac{\cos t}{\sin t+\cos t} \mathrm{~d} t$，令$t=\frac{\pi}{2}-u, t=0 \leftrightarrow u=\frac{\pi}{2}, t=\frac{\pi}{2} \leftrightarrow u=0$，所以就有$I=\int_{\frac{\pi}{2}}^{0} \frac{\sin u}{\cos u+\sin u}(-\mathrm{d} u)=\int_{0}^{\frac{\pi}{2}} \frac{\sin u}{\cos u+\sin u} \mathrm{~d} u$，然后由$2 I=\int_{0}^{\frac{\pi}{2}} \frac{\cos t+\sin t}{\cos t+\sin t} \mathrm{~d} t=\frac{\pi}{2}$就可以求出来$I$
6、三角加绝对值：利用三角函数的在区间上的正负性，将整个区间拆分为单个区间的求和形式（在求解这样的函数的极限时，利用区间范围对原积分进行放缩）
7、分子分母均含$sin$和$cos$三角函数：$\frac{C \sin x+D \cos x}{A \sin x+B \cos x}=\frac{h(A \cos x-B \sin x)}{A \sin x+B \cos x}+\frac{k(A \sin x+B \cos x)}{A \sin x+B \cos x}$，转换成$\int \frac{C \sin x+D \cos x}{A \sin x+B \cos x} \mathrm{~d} x=h \ln |A \sin x+B \cos x|+k x+C_{1}$
8、指数函数增补：$\int_{0}^{1} \frac{\mathrm{d} x}{\mathrm{e}^{x}-1}=\lim _{a \rightarrow 0^{+}} \int_{a}^{1} \frac{\mathrm{d} x}{\mathrm{e}^{x}-1}=\lim _{a \rightarrow 0^{+}} \int_{a}^{1} \frac{\mathrm{e}^{-x}}{1-\mathrm{e}^{-x}} \mathrm{~d} x$",一元积分
线性常系数齐次方程求解,"线性方程解的结构与叠加原理：（可以由方程的解构造方程）
1、齐次方程解的结构：齐次方程$y^{\prime \prime}+P(x) y^{\prime}+Q(x) y=0$的通解为$y=C_{1} y_{1}(x)+C_{2} y_{2}(x)$（其中$y_{1}(x)$和$y_{2}(x)$是齐次方程两个线性无关的特解，$C_{1}$与$C_{2}$是两个任意常数）
2、非齐次方程解的结构：非齐次方程$y^{\prime \prime}+P(x) y^{\prime}+Q(x) y=f(x)$的通解为$y=Y(x)+y^{*}(x)$（其中$Y(x)$是该非齐次方程对应的齐次方程的通解，$y^{*}(x)$为该非齐次方程的一个特解）
3、线性方程解的叠加原理：若$y_{1}^{*}(x)$和$y_{2}^{*}(x)$分别是方程组$\begin{aligned} &y^{\prime \prime}+P(x) y^{\prime}+Q(x) y=f_{1}(x) \\ &y^{\prime \prime}+P(x) y^{\prime}+Q(x) y=f_{2}(x) \end{aligned}$的特解，那么$y_{1}^{*}(x)+y_{2}^{*}(x)$是方程$y^{\prime \prime}+P(x) y^{\prime}+Q(x) y=f_{1}(x)+f_{2}(x)$的一个特解
备注：以上结论可以推广到$n$阶方程
——————————————————————————
二阶常系数齐次线性方程（$y^{\prime \prime}+p y^{\prime}+q y=0$）的通解：对于特征方程$r^{2}+p r+q=0$的两个根$ r_{1}, r_{2} $
1、两个不相等的实根$r_{1}, r_{2}$：方程通解为$ y=C_{1} \mathrm{e}^{r_1 x}+C_{2} \mathrm{e}^{r_2 x}$
2、两个相等的实根$r_{1}=r_{2}$：方程通解为$y=\left(C_{1}+C_{2} x\right) \mathrm{e}^{r_1 x}$
3、一对共轭复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解为$y=\mathrm{e}^{a x}\left(C_{1} \cos \beta x+C_{2} \sin \beta x\right)$
——————————————————————————
$n$阶常系数齐次线性方程（$y^{(n)}+p_{1} y^{(n-1)}+p_{2} y^{(n-2)}+\cdots+p_{n-1} y^{\prime}+p_{n} y=0$）的通解：对于特征方程的根
1、单实根$r$：方程通解对应一项$ C \mathrm{e}^{rx}$
2、$k$重实根$r$：方程通解对应k项${e}^{r x}\left(C_{1}+C_{2} x+\cdots+C_{k} x^{k-1}\right)$
3、一对单复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解对应两项${e}^{a x}\left(C_{1} \cos \beta x+C_{2} \sin \beta x\right)$
4、一对$k$重单复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解为对应$2k$项${e}^{{ax}}[(C_{1}+C_{2} x+\cdots+C_{k} x^{k-1}) \cos \beta x+(D_{1}+D_{2} x+\cdots+D_{k} x^{k-1}) \sin \beta x]$
——————————————————————————
线性常系数非齐次方程特解：
1、$f(x)=\mathrm{e}^{\lambda x} P_{m}(x)$型（$\lambda$为已知常数，$P_{m}(x)$为$x$的$m$次已知多项式）：待定特解设为$y^{}=x^{k} \mathrm{e}^{\lambda x} Q_{m}(x)$（$k$是特征方程根$\lambda$的重数，$Q_{m}(x)$为系数待定的$x$的$m$次多项式）
2、$f(x)=\mathrm{e}^{\lambda x}\left[P_{l}(x) \cos w x+P_{n}(x) \sin w x\right]$型（$\lambda$为已知常数，$P_{l}(x)$与$P_{n}(x)$分别为$x$的$l$次、$x$的$n$次的已知多项式）：待定特解设为$y^{}=x^{k} \mathrm{e}^{\lambda x}\left[R_{m}^{(1)}(x) \cos w x+R_{m}^{(2)}(x) \sin w x\right]$（$k$是特征方程根$\lambda+\mathrm{i} w\left(\right.$或$\lambda-\mathrm{i} w$) 的重数，$R_{m}^{(1)}(x)$与$R_{m}^{(2)}(x)$为系数待定的$m$次多项式，$m=\max \{l, n\}$）
注意：齐次形式的解与根有关，且解形式固定；非齐次方程的形式还与齐次中的特征方程根重数有关（构造前边的$x^{k}$部分，与原来的$x$幂次项$Q_{m}(x)$的构造不冲突）
注意：特解带回到方程求未知数时不要忘记方程中的系数",常微分方程
奇偶性的判断,"1、利用定义：利用奇偶性的定义进行讨论
2、导函数的奇偶性：导函数的奇偶性根据被求导的函数的奇偶性进行讨论（奇导为偶，偶导为奇，偶导的零点可能不存在）
3、原函数的奇偶性：原函数的奇偶性通过变上限积分$F(x)=F(0)+\int_{0}^{x} f(t) \mathrm{d} t$讨论（奇函数的原函数一定是偶函数，偶函数的原函数不一定是奇函数，借用$F(x)=F(0)+\int_{0}^{x} f(t) \mathrm{d} t$来进行讨论，可以看出$F(0)$的值不会影响偶函数的特性，但是会影响奇函数的特性（因为0处必须等于0））
4、积分的奇偶性判断：对积分求导",函数极限连续
可导与极限,"讨论由极限式定义的函数的导数：
1、先求解函数的表达式
2、再讨论函数导数的情况，利用定义或者求导
——————————————————————————
已知函数在某一点可导，求解与此相关的极限或者参数：
1、当分数形式存在极限时的可推导内容：当分数形式存在极限时，如果分子或者分母一边为含有未知函数的式子，则含有未知函数的一边与另一边同阶，根据分数极限的值，可以推断含有未知函数的一边的等价形式（系数*阶数幂+无穷小，即去极限符号）；特别的，不含未知参数的一边为0，且整体极限不为0，则含参数的一边极限也是0",一元微分
求函数的极限方法,"1、化简：不完全平方形式（有理化；分母补1）；无穷多项时先对无穷多项求和（无穷多项相加可能会出现更高次项）；幂指函数指数化（整体部分都可用，即可以对部分进行指数化）（不要把指数的底给丢了）；三角函数化简（升幂，降幂，合并）；提公因式（无穷减无穷形式，指数函数，幂函数）（属于整体的因式）；提出为有限值的乘积项（极限存在且不为0的因式按照乘积法则提取出来）；极限四则运算（和差商积的极限两个极限都要存在，且商的分母极限值不为零）；有界函数与无穷小乘积为无穷小
2、等价无穷小替换：对整体的因式操作，等价无穷小的条件是$x$趋于0
3、洛必达法则：需要验证是否可以洛必达（去心邻域必须可导，0/0型，无穷/无穷型，洛必达的分母的导数不恒为零，求导过后极限应为有限值或者无穷就算洛必达成功（不包括振荡形式），当洛必达的求解结果是不是无穷的不存在，不能说原极限不存在，应该用别的方法），特别是大题要进行验证（带有反三角函数的大概率需要用洛必达）（对抽象函数使用洛必达时，注意验证题目是否给出了可用洛必达的条件）
4、佩亚诺余项泰勒公式：注意展开的阶数
5、夹逼定理：常用的放缩形式
6、拉格朗日函数法：判别规则（存在基形式一致的函数（或者通过加减项凑形式）；复合函数特别复杂，但是复合的外层一致的情况，可以使用拉格朗日法将最外层去掉（外层函数类似$tanx$，$e^x$之类的））（去掉的最外层的函数的导数的极限应该存在）
7、数列和的极限：数列转积分和式（利用积分的定义）（$dx=\frac{1}{n}$，$x=\frac{i}{n}$）
8、带变限积分的式子：规范变量（对于积分号里面的变量$x$，使用拆项的办法放到积分外面；对于被积分函数里的函数$f$含有变量$x$使用变量代换的方式换到积分限中），使用洛必达法则去掉积分符号
9、单调有界定理：
10、导数的定义的运用：
11、部分项求解代入：对其中类似的项拎出来单独求极限，求出来如果极限存在再代入求解
备注：极限是一个两边趋近概念，讨论范围都是去心邻域；求解极限时除了佩亚诺余项泰勒公式和部分项求解代入法，不允许对一部分进行求解；
注意：求解极限注意符号问题（根据大致的值进行判断）；无穷比无穷时，一般要进一步化简（同时除以某一个无穷大）；使用式子替换趋于某个值的变量时，需要判断式子是不是只能趋近一边，即只能求解单边的极限
问题：单边极限的求解，也可以用无穷小替换，泰勒公式等？（待验证，如果有看到有人这么做了，可能就是对的）",函数极限连续
线面的空间特征（切、法）,"曲线的切线和法平面：
形式一：曲线$\Gamma$的方程为参数式$\left\{\begin{array}{l}x=x(t), \\ y=y(t),  \\ z=z(t),\end{array}\right.$
1、该曲线在其上一点$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$处的切向量为$\tau=\left\{x^{\prime}\left(t_{0}\right), y^{\prime}\left(t_{0}\right), z^{\prime}\left(t_{0}\right)\right\}$（利用切向量构造切线或者法平面方程）
2、该点处的切线方程为$\frac{x-x_{0}}{x^{\prime}\left(t_{0}\right)}=\frac{y-y_{0}}{y^{\prime}\left(t_{0}\right)}=\frac{z-z_{0}}{z^{\prime}\left(t_{0}\right)}$
3、该点处的法平面方程为$\left.x^{\prime}\left(t_{0}\right)\left(x-x_{0}\right)+y^{\prime}\left(t_{0}\right)\left(y-y_{0}\right)+z^{\prime}\left(t_{0}\right)\left(z-k_{0}\right) = 0\right\}$
形式二：曲线$\Gamma$的方程为一般式$\left\{\begin{array}{l}F(x, y, z)=0,\\ G(x, y, z)=0,\end{array}\right.$
1、 则该曲线在点$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$处的切向量为曲面$F(x, y, z)=0$和$G(x, y, z)=0$在该点的法向量$\boldsymbol{n}_{1}$和$\boldsymbol{n}_{2}$的向量积，即切向量 $\tau=\boldsymbol{n}_{1} \times \boldsymbol{n}_{2}$，其中$\begin{aligned} &\boldsymbol{n}_{1}=\left\{F{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\} \\ &\boldsymbol{n}_{2}=\left\{G_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), G_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), G_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\} \end{aligned}$，记$\boldsymbol{n}_{1} \times \boldsymbol{n}_{2}=\{A, B, C\}$（利用切向量构造切线或者法平面方程）
2、$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$点的切线方程为$\frac{x-x_{0}}{A}=\frac{y-y_{0}}{B}=\frac{z-z_{0}}{C}$
3、$P_{0}\left(x_{0}, y_{0}, z_{0}\right)$点的法平面方程为$A\left(x-x_{0}\right)+B\left(y-y_{0}\right)+C\left(z-z_{0}\right)=0$
形式三：平面曲线$y=f(x)$
1、平面曲线在一点的切向量为$(1,y^{\prime}(x))$，可以用于推导曲率圆的中心
——————————————————————————
曲面的切平面与法线：
形式一：$F(x, y, z)=0$
1、该曲面在点$\left(x_{0}, y_{0}, z_{0}\right)$处的法向量为$\boldsymbol{n}=\left\{F_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\}$（利用法向量构造切平面或者法线方程）
2、切平面为$F_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\left(x-x_{0}\right)+F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\left(y-y_{0}\right)+F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\left(z-z_{0}\right)=0 $
3、法线方程为$\frac{x-x_{0}}{F_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)}=\frac{y-y_{0}}{F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)}=\frac{z-z_{0}}{F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)}$
形式二：$z=f(x, y)$
1、该曲面在点$\left(x_{0}, y_{0}, z_{0}\right)$处的法向量为$\left\{f_{x}^{\prime}\left(x_{0}, y_{0}\right),f_{y}^{\prime}\left(x_{0}, y_{0}\right),-1\right\}$（利用法向量构造切平面或者法线方程）
备注：面的法向量可以归一化之后形成方向导数
注意：求解与指定面平行的平面时，注意要求解的点是在曲面上的
——————————————————————————",多元微分
